B_E03_id;E03_type;B_E06_id;E06_type;id;superordinate;levelOfDescription;signature;E06_title;title;publisher_ID;publisherEntityType;publisher;scopeAndContent;representationType;creationDate;extent;contentType;creator_id;creatorType;creator;carrierExtent;E22_place_Id;E22_Place_Name
B_E03_185847_03593;RecordSet;B_E06_185847_03593_001;Instantiation;185847_03593;E03_185847;Einzelstück;TD_23_03593;Instantiation of - Kolinplatz, Stadt Zug, vergleiche 3566 <-> 3593;Kolinplatz, Stadt Zug, vergleiche 3566 <-> 3593;;;;;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1860 - 1880;;Fotografie;https://www.wikidata.org/wiki/Q98931764;Person;Katharina Weiss;18x24;http://example.org/base/Kolinplatz;Kolinplatz
B_E03_185847_03642;RecordSet;B_E06_185847_03642_001;Instantiation;185847_03642;E03_185847;Einzelstück;TD_23_03642;Instantiation of - Trümmerfeld bei der Vorstadt nach der Seekatastrophe;Trümmerfeld bei der Vorstadt nach der Seekatastrophe;;;;;Elektronische Speichermedien (Digitalisiert) (digitalisiert übernommen);1887;;Fotografie;https://www.wikidata.org/wiki/Q98931764;Person;Katharina Weiss;18x24;https://www.wikidata.org/wiki/Q68144;Zug
B_E03_180200;RecordSet;B_E06_180200_001;Instantiation;180200;E03_180000;Bestand;TD_4;Instantiation of - Zuger Audio;Zuger Audio;;;;;;Undatiert;;Audio;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_180201;RecordSet;B_E06_180201_001;Instantiation;180201;E03_180200;Bestand;TD_41;Instantiation of - Zuger Casetten;Zuger Casetten;;;;;;Undatiert;;Audio;;;;;https://geo.ld.admin.ch/boundaries/canton/9;Kanton Zug
B_E03_180213;RecordSet;B_E06_180213_001;Instantiation;180213;E03_180201;Einzelstück;TD_41_00082;Instantiation of - Zuger Jugendorchesters, Samstag, 18. Mai 1985, Theater Casino Zug;Zuger Jugendorchesters, Samstag, 18. Mai 1985, Theater Casino Zug;;CorporateBody;Zuger Jugendorchester, Robert Zemp (Leitung);;Tonband (analog);1985;;Audio;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_180234;RecordSet;B_E06_180234_001;Instantiation;180234;E03_180201;Einzelstück;TD_41_00096;Instantiation of - 20 Jahre Laslafaria : 20 Jahre Guggenmusik : aufgenommen im Theater Casino Zug am 22.6.1982;20 Jahre Laslafaria : 20 Jahre Guggenmusik : aufgenommen im Theater Casino Zug am 22.6.1982;;CorporateBody;Laslafaria (Baar);;Tonband (analog);1982;;Audio;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_181809;RecordSet;B_E06_181809_001;Instantiation;181809;E03_180201;Einzelstück;TD_42_00336.2;Instantiation of - René Twerenbold Big Band: Theater Casino Zug 1988 (Konzert 24. März 1988), Teil 2;René Twerenbold Big Band: Theater Casino Zug 1988 (Konzert 24. März 1988), Teil 2;;CorporateBody;René Twerenbold Big Band;;Compact Disc (CD) (Digitalisiert) (digitalisiert übernommen);2004;;Audio;;;;;https://geo.ld.admin.ch/location/address/100293767;TheaterCasinoZug
B_E03_93025;RecordSet;B_E06_93025_001;Instantiation;93025;E03_180000;Bestand;TD_5;Instantiation of - Zuger Videosammlung;Zuger Videosammlung;;;;;;1929 -;;Film;;;;;;
B_E03_315926;RecordSet;B_E06_315926_001;Instantiation;315926;E03_93025;Bestand;TD_51;Instantiation of - Zuger Video;Zuger Video;;;;Digitalisierte VHS-Videos aus der Zuger Sammlung;;1929 - 2009;;Film;;;;;;
B_E03_182329;RecordSet;B_E06_182329_001;Instantiation;182329;E03_315926;Einzelstück;TD_51_00123;"Instantiation of - Chönd Sie sich erinnere? Ehemalige Angestellte der Metallwarenfabrik Zug erzählen von ihrer Arbeit (1920-1975) (Zuger Geschichtsgruppe ""1848"", ein Projekt des Vereins für Arbeitsmarktmassnahmen (VAM) (Produktion), Anna Merz (Projektleitung))";"Chönd Sie sich erinnere? Ehemalige Angestellte der Metallwarenfabrik Zug erzählen von ihrer Arbeit (1920-1975) (Zuger Geschichtsgruppe ""1848"", ein Projekt des Vereins für Arbeitsmarktmassnahmen (VAM) (Produktion), Anna Merz (Projektleitung))";;CorporateBody;"Zuger Geschichtsgruppe ""1848"", ein Projekt des Vereins für Arbeitsmarktmassnahmen (VAM) (Produktion), Anna Merz (Projektleitung)";Dauer: 40 min;Videokasette (analog);1998;;Film;;;;;;
